상호명,상권업종대분류명,상권업종중분류명,상권업종소분류명,시도명,시군구명,행정동명,법정동명,도로명주소,경도,위도
라멘트럭,음식,일식,일식 면 요리,서울특별시,마포구,서강동,상수동,서울특별시 마포구 와우산로7길 6,126.922657281763,37.5471735836067
샐러디서강대점,음식,비알코올 ,카페,서울특별시,마포구,대흥동,신수동,서울특별시 마포구 백범로 35,126.943045399174,37.5514936288891
슈가레이펍,음식,주점,생맥주 전문,서울특별시,마포구,서교동,서교동,서울특별시 마포구 와우산로 75,126.92305142571,37.5512408691464
미스미스노래짱,음식,주점,요리 주점,서울특별시,마포구,대흥동,대흥동,서울특별시 마포구 대흥로 82,126.941610693803,37.5473089557329
코코가츠,음식,일식,일식 회/초밥,서울특별시,마포구,대흥동,신수동,서울특별시 마포구 백범로 68,126.93910904208,37.548953431598
루트184,음식,기타 간이,빵/도넛,서울특별시,마포구,대흥동,대흥동,서울특별시 마포구 대흥로 184-1,126.946078929855,37.5554763157213
요코스카쓰나미상수점,음식,일식,일식 회/초밥,서울특별시,마포구,서강동,상수동,서울특별시 마포구 와우산로 39-12,126.922495271201,37.5482083013671
식스티즈,음식,기타 간이,피자,서울특별시,마포구,서교동,서교동,서울특별시 마포구 와우산로23길 9,126.924366793098,37.5534243648617
솜사탕,음식,주점,요리 주점,서울특별시,마포구,대흥동,노고산동,서울특별시 마포구 백범로2길 6,126.936566110934,37.5542917473631
봉카페,음식,비알코올 ,카페,서울특별시,마포구,서교동,서교동,서울특별시 마포구 와우산로29길 4-14,126.929722218666,37.5548516234431
레인보우식스,음식,비알코올 ,카페,서울특별시,마포구,서교동,동교동,서울특별시 마포구 와우산로37길 32,126.929256518793,37.5565503654321
횬지수퍼음식점,음식,기타 간이,김밥/만두/분식,서울특별시,마포구,서강동,상수동,서울특별시 마포구 와우산로13길 25,126.9220178511,37.5491410251102
얀앤욘,음식,비알코올 ,카페,서울특별시,마포구,대흥동,대흥동,서울특별시 마포구 대흥로21길 11,126.945170268979,37.5532966927114
냉장고,음식,한식,돼지고기 구이/찜,서울특별시,마포구,서강동,상수동,서울특별시 마포구 와우산로 23,126.922778341646,37.5466250535885
카페하울링,음식,비알코올 ,카페,서울특별시,마포구,서교동,동교동,서울특별시 마포구 와우산로 170,126.931100097637,37.5558462390625
신참떡볶이대흥역점,음식,기타 간이,김밥/만두/분식,서울특별시,마포구,염리동,염리동,서울특별시 마포구 백범로 127-22,126.945693562502,37.5466787116212
한창희천하일면,음식,한식,국수/칼국수,서울특별시,마포구,신수동,대흥동,서울특별시 마포구 대흥로 57,126.939776437998,37.5457787499653
이츠동,음식,일식,일식 회/초밥,서울특별시,서대문구,북아현동,북아현동,서울특별시 서대문구 신촌로31길 14,126.953495059013,37.5576957710678
덕이분식,음식,기타 간이,김밥/만두/분식,서울특별시,마포구,염리동,염리동,서울특별시 마포구 백범로 111,126.943795928358,37.5472294086576
오토노,음식,주점,요리 주점,서울특별시,마포구,서강동,상수동,서울특별시 마포구 와우산로 28,126.923124182658,37.546970603542
카페쿠바노,음식,한식,백반/한정식,서울특별시,마포구,서교동,서교동,서울특별시 마포구 와우산로29나길 7,126.928421360057,37.5548037823921
오버플로우,음식,서양식,경양식,서울특별시,서대문구,신촌동,창천동,서울특별시 서대문구 신촌로 83,126.935827820491,37.556069154454
옥면가,음식,한식,국수/칼국수,서울특별시,마포구,염리동,염리동,서울특별시 마포구 백범로26길 4-5,126.945899621159,37.5457074258991
가화반점,음식,중식,중국집,서울특별시,서대문구,북아현동,북아현동,서울특별시 서대문구 신촌로35길 10,126.955950687973,37.558537459221
카페333,음식,비알코올 ,카페,서울특별시,마포구,서교동,서교동,서울특별시 마포구 와우산로29라길 12,126.92701116459,37.5552775362308
탐탐오향족발2,음식,한식,족발/보쌈,서울특별시,마포구,서교동,서교동,서울특별시 마포구 와우산로29길 48-6,126.927726633227,37.5558967429855
카페빈,음식,비알코올 ,카페,서울특별시,마포구,서교동,서교동,서울특별시 마포구 와우산로15길 24,126.921820557581,37.549481618813
신주에프엠,음식,중식,중국집,서울특별시,마포구,서교동,서교동,서울특별시 마포구 와우산로 66,126.923278478329,37.5504049730283
곱분이곱창신촌서강대점,음식,한식,곱창 전골/구이,서울특별시,마포구,신수동,신수동,서울특별시 마포구 광성로 28,126.936139146659,37.5492961364838
도넛홀릭,음식,비알코올 ,카페,서울특별시,마포구,대흥동,대흥동,서울특별시 마포구 백범로 102,126.942435685844,37.5473884311467
코너펍,음식,일식,일식 회/초밥,서울특별시,마포구,서교동,서교동,서울특별시 마포구 와우산로19길 16,126.922335680657,37.5514325671993
육부장,음식,한식,백반/한정식,서울특별시,용산구,원효로1동,문배동,서울특별시 용산구 백범로90라길 16,126.968569049495,37.5381226008283
젠2,음식,주점,요리 주점,서울특별시,마포구,서교동,서교동,서울특별시 마포구 와우산로21길 28,126.922354969117,37.5524509178154
뚜레쥬르,음식,기타 간이,빵/도넛,서울특별시,마포구,아현동,공덕동,서울특별시 마포구 백범로 178,126.950055876048,37.5438702879188
지그재그,음식,주점,생맥주 전문,서울특별시,마포구,서교동,서교동,서울특별시 마포구 와우산로21길 19-16,126.922522601064,37.5518127097208
타일,음식,주점,요리 주점,서울특별시,마포구,신수동,신수동,서울특별시 마포구 광성로4길 11-8,126.937847018956,37.5493655748519
서울식당,음식,한식,백반/한정식,서울특별시,용산구,효창동,효창동,서울특별시 용산구 백범로 291,126.961672207894,37.5393596622963
하모네꼬,음식,서양식,경양식,서울특별시,마포구,대흥동,대흥동,서울특별시 마포구 백범로16안길 9,126.942638989131,37.5466153560217
이인,음식,주점,요리 주점,서울특별시,마포구,염리동,공덕동,서울특별시 마포구 백범로 152,126.948244432259,37.544737188609
마녀김밥공덕점,음식,기타 간이,김밥/만두/분식,서울특별시,마포구,아현동,공덕동,서울특별시 마포구 백범로31길 7,126.948679005411,37.5452186111812
홈랜드,음식,중식,중국집,서울특별시,용산구,원효로1동,원효로1가,서울특별시 용산구 백범로87길 40,126.968930127015,37.5390177886157
마하,음식,주점,요리 주점,서울특별시,마포구,서교동,동교동,서울특별시 마포구 신촌로4길 22-10,126.927787001058,37.5572128084202
누바,음식,주점,요리 주점,서울특별시,마포구,서교동,서교동,서울특별시 마포구 와우산로29바길 20,126.925694328499,37.5555538939922
고든베넷,음식,기타 간이,빵/도넛,서울특별시,마포구,염리동,염리동,서울특별시 마포구 대흥로24길 24,126.947640013824,37.5539224291631
스시모리지,음식,일식,일식 회/초밥,서울특별시,마포구,신수동,신수동,서울특별시 마포구 광성로6길 54,126.939658735901,37.547696911509
유다,음식,일식,일식 회/초밥,서울특별시,마포구,서교동,서교동,서울특별시 마포구 와우산로25길 19,126.925849781764,37.5541857286959
누보,음식,비알코올 ,카페,서울특별시,마포구,서교동,서교동,서울특별시 마포구 와우산로29마길 16,126.926408295579,37.5554883052237
착한커피,음식,비알코올 ,카페,서울특별시,마포구,서교동,노고산동,서울특별시 마포구 신촌로16길 30,126.934244357309,37.554405968518
모로미쿠시,음식,주점,요리 주점,서울특별시,마포구,대흥동,대흥동,서울특별시 마포구 백범로 82,126.940577184787,37.5475699996142
모로미쿠시,음식,일식,일식 회/초밥,서울특별시,마포구,염리동,염리동,서울특별시 마포구 백범로36길 12,126.949089260363,37.5434021571732
기웃기웃협동조합,음식,비알코올 ,카페,서울특별시,마포구,서교동,노고산동,서울특별시 마포구 신촌로12다길 20,126.93359702003,37.5545623106296
