menu,price,order_time
만두,2638,2024-12-30 11:14:56
떡볶이,26605,2024-12-30 04:04:56
떡볶이,23363,2024-12-30 03:02:56
떡볶이,28466,2024-12-30 13:31:56
김밥,12507,2024-12-30 11:39:56
떡볶이,14523,2024-12-29 21:23:56
만두,4443,2024-12-30 03:03:56
떡볶이,25222,2024-12-30 00:54:56
만두,6766,2024-12-30 12:10:56
만두,9829,2024-12-30 16:58:56
김밥,12417,2024-12-29 19:19:56
만두,19193,2024-12-30 06:39:56
떡볶이,29535,2024-12-30 02:37:56
김밥,16308,2024-12-30 16:21:56
만두,5008,2024-12-30 10:50:56
만두,26434,2024-12-30 08:25:56
떡볶이,1341,2024-12-29 19:43:56
만두,6754,2024-12-29 21:12:56
떡볶이,22104,2024-12-29 23:11:56
김밥,17262,2024-12-30 04:56:56
떡볶이,18178,2024-12-30 02:30:56
떡볶이,28131,2024-12-29 22:27:56
김밥,3957,2024-12-30 02:50:56
김밥,29379,2024-12-30 09:17:56
김밥,22677,2024-12-30 16:01:56
만두,8718,2024-12-30 16:03:56
떡볶이,27226,2024-12-30 02:18:56
만두,29813,2024-12-30 15:45:56
만두,11477,2024-12-30 08:07:56
떡볶이,2146,2024-12-30 02:16:56
김밥,14463,2024-12-29 21:43:56
만두,17706,2024-12-29 17:40:56
만두,27584,2024-12-30 11:20:56
떡볶이,12217,2024-12-29 17:22:56
김밥,17759,2024-12-29 19:43:56
떡볶이,20404,2024-12-30 08:29:56
떡볶이,3314,2024-12-30 04:01:56
떡볶이,10841,2024-12-30 03:07:56
김밥,20490,2024-12-30 07:38:56
만두,22004,2024-12-30 12:21:56
떡볶이,27249,2024-12-30 07:51:56
만두,2842,2024-12-30 10:38:56
김밥,27833,2024-12-30 09:03:56
김밥,12243,2024-12-30 10:30:56
만두,10665,2024-12-30 14:31:56
만두,21019,2024-12-29 21:25:56
떡볶이,23426,2024-12-30 12:53:56
김밥,21982,2024-12-30 02:00:56
떡볶이,6589,2024-12-30 07:57:56
김밥,24242,2024-12-30 05:19:56
만두,14981,2024-12-30 08:15:56
김밥,5659,2024-12-29 17:30:56
김밥,26628,2024-12-29 21:04:56
만두,8734,2024-12-30 10:47:56
만두,11879,2024-12-30 07:55:56
떡볶이,22969,2024-12-30 13:34:56
만두,3971,2024-12-30 02:47:56
김밥,8410,2024-12-30 08:44:56
김밥,22578,2024-12-30 08:09:56
떡볶이,29690,2024-12-30 16:45:56
떡볶이,13077,2024-12-30 01:23:56
떡볶이,13905,2024-12-30 05:25:56
김밥,6208,2024-12-29 18:14:56
떡볶이,10112,2024-12-30 16:19:56
떡볶이,4745,2024-12-30 08:48:56
만두,1814,2024-12-30 16:05:56
김밥,12446,2024-12-30 02:47:56
김밥,27998,2024-12-30 10:40:56
만두,19054,2024-12-29 22:17:56
만두,18056,2024-12-29 21:58:56
김밥,24335,2024-12-30 01:29:56
떡볶이,14739,2024-12-30 09:42:56
김밥,19876,2024-12-30 05:56:56
만두,8379,2024-12-29 19:37:56
떡볶이,4036,2024-12-29 23:10:56
김밥,25886,2024-12-30 00:53:56
떡볶이,19750,2024-12-30 03:23:56
떡볶이,4531,2024-12-30 07:42:56
만두,20881,2024-12-30 00:50:56
만두,20996,2024-12-30 09:30:56
떡볶이,23073,2024-12-30 10:24:56
김밥,27626,2024-12-30 04:28:56
만두,26863,2024-12-30 07:34:56
만두,15969,2024-12-29 18:45:56
김밥,16273,2024-12-30 06:39:56
만두,21936,2024-12-30 04:09:56
떡볶이,13326,2024-12-30 15:42:56
떡볶이,27113,2024-12-30 09:02:56
김밥,29703,2024-12-30 15:21:56
떡볶이,20091,2024-12-30 16:03:56
떡볶이,26187,2024-12-29 22:44:56
떡볶이,21563,2024-12-30 13:14:56
떡볶이,5612,2024-12-30 08:43:56
김밥,20742,2024-12-29 20:14:56
만두,8366,2024-12-29 23:44:56
김밥,23806,2024-12-29 19:53:56
김밥,20855,2024-12-30 01:49:56
떡볶이,10342,2024-12-29 23:19:56
만두,13341,2024-12-30 00:30:56
김밥,28125,2024-12-29 22:21:56
