menu,price,order_time
닭강정,12889,2024-12-30 13:59:56
닭강정,3002,2024-12-30 16:52:56
닭강정,9731,2024-12-30 11:36:56
떡볶이,3071,2024-12-29 17:22:56
떡볶이,17301,2024-12-30 10:41:56
감자튀김,9486,2024-12-30 02:58:56
닭강정,19886,2024-12-29 22:59:56
떡볶이,29978,2024-12-29 18:58:56
떡볶이,9976,2024-12-30 02:19:56
감자튀김,13964,2024-12-30 07:52:56
떡볶이,5570,2024-12-30 12:01:56
닭강정,3015,2024-12-30 06:12:56
감자튀김,25671,2024-12-29 19:19:56
감자튀김,7852,2024-12-29 18:56:56
떡볶이,29231,2024-12-30 00:22:56
떡볶이,6023,2024-12-30 15:16:56
닭강정,13897,2024-12-30 04:19:56
감자튀김,9678,2024-12-30 14:35:56
떡볶이,9284,2024-12-30 10:15:56
감자튀김,4041,2024-12-29 19:46:56
닭강정,10005,2024-12-30 13:33:56
떡볶이,5887,2024-12-30 09:56:56
감자튀김,10126,2024-12-30 17:09:56
떡볶이,18502,2024-12-30 03:38:56
떡볶이,19021,2024-12-30 06:20:56
떡볶이,15463,2024-12-30 09:46:56
감자튀김,28362,2024-12-30 11:53:56
떡볶이,26347,2024-12-30 09:52:56
닭강정,22623,2024-12-30 05:51:56
감자튀김,5052,2024-12-29 20:53:56
감자튀김,24848,2024-12-30 01:09:56
감자튀김,7473,2024-12-30 08:00:56
떡볶이,1769,2024-12-30 08:50:56
닭강정,29611,2024-12-30 10:31:56
닭강정,4458,2024-12-30 11:50:56
닭강정,16393,2024-12-30 07:45:56
감자튀김,15378,2024-12-30 15:49:56
떡볶이,9426,2024-12-29 20:39:56
떡볶이,18998,2024-12-30 05:40:56
떡볶이,25356,2024-12-30 13:19:56
닭강정,5708,2024-12-30 04:47:56
떡볶이,7343,2024-12-30 00:26:56
닭강정,23417,2024-12-30 10:27:56
닭강정,27020,2024-12-30 10:24:56
닭강정,1175,2024-12-30 04:31:56
감자튀김,6290,2024-12-30 01:05:56
닭강정,4002,2024-12-30 05:56:56
떡볶이,26451,2024-12-30 12:36:56
감자튀김,15027,2024-12-30 00:55:56
떡볶이,7614,2024-12-30 05:31:56
감자튀김,1472,2024-12-30 09:35:56
감자튀김,27458,2024-12-30 14:44:56
닭강정,3937,2024-12-29 18:58:56
감자튀김,28299,2024-12-30 03:20:56
닭강정,16942,2024-12-30 03:35:56
감자튀김,12589,2024-12-30 05:46:56
닭강정,28439,2024-12-30 15:37:56
감자튀김,15817,2024-12-30 02:53:56
떡볶이,23864,2024-12-30 14:08:56
닭강정,25827,2024-12-30 12:12:56
감자튀김,24082,2024-12-29 20:08:56
감자튀김,14975,2024-12-30 09:25:56
떡볶이,6418,2024-12-30 12:42:56
떡볶이,2985,2024-12-30 10:24:56
떡볶이,18141,2024-12-30 11:12:56
감자튀김,29390,2024-12-30 15:27:56
감자튀김,23732,2024-12-29 18:01:56
감자튀김,22928,2024-12-30 14:14:56
닭강정,12098,2024-12-29 23:42:56
떡볶이,8355,2024-12-30 10:37:56
감자튀김,5526,2024-12-29 18:04:56
떡볶이,11029,2024-12-30 00:27:56
닭강정,17616,2024-12-30 13:21:56
닭강정,6196,2024-12-30 05:49:56
떡볶이,9361,2024-12-30 12:50:56
닭강정,8480,2024-12-29 23:51:56
감자튀김,14185,2024-12-30 04:56:56
떡볶이,8999,2024-12-30 05:26:56
감자튀김,6211,2024-12-29 23:10:56
감자튀김,15008,2024-12-30 01:55:56
감자튀김,4341,2024-12-29 22:23:56
닭강정,29974,2024-12-29 17:48:56
닭강정,6806,2024-12-30 07:15:56
감자튀김,5623,2024-12-30 13:41:56
감자튀김,27640,2024-12-30 10:48:56
닭강정,17033,2024-12-30 12:12:56
감자튀김,22194,2024-12-30 04:46:56
떡볶이,29540,2024-12-29 17:30:56
감자튀김,7506,2024-12-30 14:45:56
닭강정,14314,2024-12-30 11:48:56
감자튀김,10785,2024-12-30 09:07:56
닭강정,2073,2024-12-29 19:24:56
감자튀김,13801,2024-12-30 04:09:56
닭강정,5958,2024-12-29 17:23:56
감자튀김,22692,2024-12-30 04:22:56
감자튀김,18632,2024-12-29 19:15:56
닭강정,7394,2024-12-30 05:46:56
감자튀김,26132,2024-12-30 09:53:56
감자튀김,20472,2024-12-29 17:52:56
감자튀김,9717,2024-12-30 05:27:56
