menu,price,order_time
떡볶이,5180,2024-12-30 09:21:56
김밥,4908,2024-12-29 18:31:56
만두,17177,2024-12-29 20:48:56
떡볶이,27617,2024-12-30 13:13:56
만두,29276,2024-12-29 23:22:56
만두,22534,2024-12-30 04:20:56
떡볶이,9618,2024-12-30 09:16:56
김밥,18911,2024-12-30 02:51:56
만두,8948,2024-12-30 13:40:56
만두,14927,2024-12-30 03:55:56
김밥,20735,2024-12-30 09:24:56
김밥,14327,2024-12-30 12:42:56
만두,19676,2024-12-30 06:10:56
김밥,22810,2024-12-30 09:27:56
만두,3016,2024-12-29 17:36:56
만두,11380,2024-12-30 01:51:56
만두,1477,2024-12-30 04:12:56
떡볶이,18653,2024-12-30 14:45:56
만두,16180,2024-12-30 15:55:56
만두,11694,2024-12-30 01:51:56
떡볶이,8083,2024-12-30 09:48:56
김밥,29909,2024-12-30 02:40:56
떡볶이,20947,2024-12-30 03:34:56
떡볶이,8462,2024-12-29 19:08:56
떡볶이,25913,2024-12-30 08:52:56
떡볶이,11072,2024-12-29 22:22:56
만두,1509,2024-12-29 21:42:56
만두,11803,2024-12-30 00:21:56
떡볶이,7915,2024-12-30 02:16:56
만두,24112,2024-12-30 03:47:56
만두,11531,2024-12-30 11:29:56
만두,6069,2024-12-30 09:25:56
만두,28368,2024-12-29 20:39:56
만두,12913,2024-12-30 07:57:56
만두,15038,2024-12-30 01:26:56
만두,13050,2024-12-30 13:09:56
만두,21476,2024-12-29 19:20:56
김밥,26433,2024-12-30 08:51:56
만두,23289,2024-12-30 01:57:56
만두,11628,2024-12-30 02:18:56
떡볶이,17030,2024-12-29 23:54:56
김밥,10829,2024-12-30 00:06:56
떡볶이,27840,2024-12-30 01:57:56
떡볶이,25110,2024-12-30 11:54:56
만두,1619,2024-12-30 02:52:56
떡볶이,14145,2024-12-30 16:50:56
김밥,11452,2024-12-30 06:44:56
김밥,6235,2024-12-30 10:51:56
만두,23307,2024-12-29 23:53:56
만두,4690,2024-12-30 12:10:56
김밥,25978,2024-12-30 16:51:56
떡볶이,2387,2024-12-30 16:51:56
떡볶이,26530,2024-12-29 18:03:56
떡볶이,1045,2024-12-30 16:57:56
떡볶이,8385,2024-12-30 13:52:56
떡볶이,26384,2024-12-29 22:14:56
만두,25771,2024-12-30 10:56:56
김밥,5370,2024-12-29 20:34:56
만두,19114,2024-12-30 06:06:56
떡볶이,15651,2024-12-30 02:02:56
만두,11051,2024-12-30 14:19:56
만두,9097,2024-12-30 07:46:56
떡볶이,24931,2024-12-30 09:40:56
떡볶이,21374,2024-12-30 16:08:56
만두,10574,2024-12-30 08:58:56
만두,2310,2024-12-30 01:43:56
김밥,26150,2024-12-29 21:48:56
김밥,14606,2024-12-30 07:38:56
떡볶이,27684,2024-12-30 06:18:56
김밥,27468,2024-12-29 19:03:56
김밥,17237,2024-12-30 05:28:56
떡볶이,22365,2024-12-29 23:03:56
떡볶이,5668,2024-12-30 04:19:56
김밥,5849,2024-12-30 01:32:56
만두,25694,2024-12-30 12:57:56
김밥,7466,2024-12-30 05:25:56
떡볶이,11923,2024-12-30 11:42:56
만두,11519,2024-12-29 18:27:56
만두,4530,2024-12-29 20:07:56
김밥,5351,2024-12-30 16:29:56
김밥,13630,2024-12-30 11:03:56
김밥,24591,2024-12-30 10:27:56
떡볶이,12447,2024-12-29 19:33:56
만두,7455,2024-12-30 13:03:56
떡볶이,24927,2024-12-30 05:21:56
떡볶이,13787,2024-12-30 06:46:56
김밥,2518,2024-12-30 04:05:56
떡볶이,11059,2024-12-30 07:22:56
김밥,6368,2024-12-30 09:21:56
김밥,16232,2024-12-30 04:24:56
김밥,7484,2024-12-30 05:58:56
만두,17561,2024-12-30 13:51:56
만두,7978,2024-12-30 13:14:56
김밥,21509,2024-12-30 13:10:56
만두,11467,2024-12-30 13:14:56
김밥,4303,2024-12-30 02:03:56
떡볶이,6155,2024-12-29 22:37:56
만두,8148,2024-12-30 10:27:56
만두,26636,2024-12-30 11:49:56
만두,20777,2024-12-30 04:59:56
