menu,price,order_time
광어회,1130,2024-12-29 20:21:57
참치회,2708,2024-12-30 15:41:57
광어회,1318,2024-12-30 02:25:57
연어초밥,29537,2024-12-29 19:46:57
참치회,20436,2024-12-30 05:54:57
광어회,18922,2024-12-29 17:43:57
광어회,3156,2024-12-29 21:58:57
연어초밥,24159,2024-12-30 00:47:57
연어초밥,17182,2024-12-30 05:15:57
광어회,22103,2024-12-29 17:53:57
연어초밥,7751,2024-12-30 04:25:57
광어회,16780,2024-12-29 19:13:57
참치회,21734,2024-12-30 09:37:57
참치회,3156,2024-12-30 05:19:57
광어회,14369,2024-12-29 21:54:57
참치회,26131,2024-12-30 02:35:57
연어초밥,13597,2024-12-30 06:32:57
광어회,24167,2024-12-30 12:08:57
연어초밥,24441,2024-12-30 06:34:57
광어회,17078,2024-12-30 15:58:57
참치회,8169,2024-12-30 01:55:57
광어회,4486,2024-12-30 15:02:57
광어회,7521,2024-12-30 11:55:57
참치회,21660,2024-12-30 02:58:57
연어초밥,26577,2024-12-30 17:03:57
광어회,10820,2024-12-29 22:27:57
연어초밥,11908,2024-12-29 19:00:57
참치회,14528,2024-12-30 06:50:57
연어초밥,11495,2024-12-30 11:16:57
연어초밥,18675,2024-12-30 11:29:57
연어초밥,18123,2024-12-30 10:29:57
광어회,14459,2024-12-30 16:22:57
연어초밥,13014,2024-12-30 11:19:57
광어회,9985,2024-12-30 02:11:57
참치회,11339,2024-12-30 11:53:57
광어회,28026,2024-12-29 21:30:57
광어회,23004,2024-12-30 00:12:57
연어초밥,13952,2024-12-29 22:20:57
광어회,11967,2024-12-29 23:47:57
참치회,29170,2024-12-29 23:25:57
광어회,4869,2024-12-30 04:13:57
광어회,5928,2024-12-30 08:39:57
연어초밥,18850,2024-12-29 17:53:57
연어초밥,19575,2024-12-30 04:09:57
참치회,25355,2024-12-29 21:59:57
참치회,23203,2024-12-29 19:39:57
참치회,4656,2024-12-29 22:21:57
참치회,20116,2024-12-30 14:22:57
연어초밥,10806,2024-12-30 00:40:57
연어초밥,13973,2024-12-30 15:20:57
연어초밥,1695,2024-12-30 10:22:57
광어회,23133,2024-12-29 23:25:57
연어초밥,21460,2024-12-30 04:22:57
참치회,14436,2024-12-29 21:56:57
연어초밥,4508,2024-12-30 01:29:57
광어회,17787,2024-12-29 18:50:57
광어회,14210,2024-12-29 21:00:57
연어초밥,25376,2024-12-29 17:30:57
광어회,7993,2024-12-30 03:03:57
참치회,6852,2024-12-30 10:00:57
참치회,12143,2024-12-30 09:49:57
연어초밥,3668,2024-12-30 09:56:57
참치회,13111,2024-12-30 00:52:57
광어회,3466,2024-12-30 09:41:57
연어초밥,9222,2024-12-30 13:31:57
연어초밥,1307,2024-12-30 13:02:57
연어초밥,10281,2024-12-30 14:07:57
참치회,22076,2024-12-29 18:23:57
연어초밥,11519,2024-12-29 21:39:57
광어회,18007,2024-12-29 22:17:57
참치회,28680,2024-12-30 09:55:57
광어회,10100,2024-12-30 16:03:57
참치회,3747,2024-12-29 19:20:57
연어초밥,27717,2024-12-30 08:41:57
연어초밥,29709,2024-12-30 05:01:57
참치회,26941,2024-12-30 15:30:57
광어회,13752,2024-12-30 00:35:57
참치회,10365,2024-12-30 03:05:57
광어회,18156,2024-12-30 12:21:57
참치회,9006,2024-12-30 05:35:57
연어초밥,21430,2024-12-30 15:51:57
광어회,28331,2024-12-30 05:15:57
광어회,25212,2024-12-30 12:43:57
참치회,2043,2024-12-30 08:40:57
광어회,5685,2024-12-30 14:00:57
연어초밥,17268,2024-12-30 14:35:57
광어회,10941,2024-12-29 18:28:57
광어회,26882,2024-12-30 13:56:57
광어회,3340,2024-12-30 09:08:57
광어회,9548,2024-12-30 03:08:57
광어회,20089,2024-12-30 06:37:57
참치회,8644,2024-12-30 00:09:57
참치회,3669,2024-12-30 08:30:57
연어초밥,14467,2024-12-30 14:15:57
참치회,17332,2024-12-29 22:52:57
광어회,17963,2024-12-30 09:05:57
광어회,19578,2024-12-30 04:59:57
연어초밥,13298,2024-12-30 12:44:57
참치회,27694,2024-12-30 10:50:57
참치회,5835,2024-12-29 19:40:57
