menu,price,order_time
필스너,6123,2024-12-30 09:00:56
필스너,1223,2024-12-30 12:01:56
필스너,28254,2024-12-29 22:44:56
흑맥주,8652,2024-12-30 06:24:56
필스너,10708,2024-12-30 16:17:56
필스너,21186,2024-12-30 07:03:56
흑맥주,6148,2024-12-29 19:25:56
흑맥주,7071,2024-12-30 10:49:56
필스너,16864,2024-12-29 18:26:56
흑맥주,1889,2024-12-30 03:50:56
필스너,3903,2024-12-30 01:10:56
필스너,13130,2024-12-30 05:07:56
흑맥주,29453,2024-12-30 01:20:56
흑맥주,3840,2024-12-30 12:00:56
IPA,5697,2024-12-30 14:01:56
IPA,27825,2024-12-29 17:23:56
필스너,26051,2024-12-30 14:20:56
필스너,26716,2024-12-30 04:35:56
흑맥주,29716,2024-12-30 06:33:56
흑맥주,7595,2024-12-30 17:01:56
흑맥주,13318,2024-12-29 22:42:56
IPA,21553,2024-12-29 18:31:56
필스너,16186,2024-12-30 01:53:56
흑맥주,18198,2024-12-30 01:00:56
흑맥주,25053,2024-12-30 04:33:56
IPA,9729,2024-12-30 01:47:56
필스너,15190,2024-12-29 19:38:56
IPA,29277,2024-12-30 02:11:56
필스너,9165,2024-12-30 00:02:56
IPA,15591,2024-12-30 15:38:56
필스너,27460,2024-12-30 12:50:56
흑맥주,18438,2024-12-30 14:12:56
IPA,10794,2024-12-30 17:20:56
IPA,7218,2024-12-29 22:57:56
IPA,27186,2024-12-30 05:23:56
흑맥주,15694,2024-12-30 09:27:56
필스너,29026,2024-12-29 20:03:56
필스너,5491,2024-12-29 23:41:56
IPA,27565,2024-12-30 10:36:56
필스너,1338,2024-12-30 15:50:56
흑맥주,7651,2024-12-30 15:42:56
IPA,19978,2024-12-30 10:33:56
필스너,7874,2024-12-29 21:38:56
필스너,2646,2024-12-30 00:39:56
흑맥주,15162,2024-12-30 03:09:56
흑맥주,17941,2024-12-30 03:30:56
흑맥주,28055,2024-12-30 16:12:56
필스너,14575,2024-12-30 10:44:56
IPA,3794,2024-12-29 19:01:56
필스너,18498,2024-12-30 00:42:56
IPA,10370,2024-12-29 22:47:56
필스너,22723,2024-12-30 02:06:56
필스너,3022,2024-12-30 10:26:56
IPA,24312,2024-12-30 12:25:56
필스너,10940,2024-12-30 05:28:56
IPA,11786,2024-12-30 05:02:56
흑맥주,14933,2024-12-30 05:21:56
필스너,8277,2024-12-30 02:28:56
필스너,21889,2024-12-30 05:12:56
IPA,4283,2024-12-29 22:26:56
필스너,26091,2024-12-30 04:38:56
필스너,22245,2024-12-30 01:32:56
필스너,13118,2024-12-30 16:34:56
필스너,6362,2024-12-30 09:49:56
흑맥주,19722,2024-12-30 01:48:56
필스너,15108,2024-12-30 10:13:56
필스너,3284,2024-12-29 20:13:56
흑맥주,3534,2024-12-29 20:46:56
필스너,21873,2024-12-30 08:51:56
필스너,10202,2024-12-30 04:30:56
IPA,24367,2024-12-30 14:39:56
필스너,17144,2024-12-30 02:33:56
흑맥주,28028,2024-12-30 14:48:56
IPA,5321,2024-12-30 06:55:56
필스너,13571,2024-12-30 06:53:56
IPA,29088,2024-12-30 15:56:56
필스너,5419,2024-12-30 03:39:56
흑맥주,15454,2024-12-29 19:43:56
IPA,28081,2024-12-30 00:13:56
필스너,24169,2024-12-30 16:27:56
필스너,6590,2024-12-30 15:30:56
흑맥주,9181,2024-12-29 21:42:56
필스너,13556,2024-12-30 01:25:56
필스너,16986,2024-12-30 00:17:56
IPA,3209,2024-12-30 03:43:56
흑맥주,27848,2024-12-30 08:42:56
흑맥주,26877,2024-12-29 21:10:56
필스너,16398,2024-12-30 11:40:56
IPA,3630,2024-12-30 16:14:56
IPA,23226,2024-12-30 17:01:56
필스너,19584,2024-12-29 19:39:56
흑맥주,21748,2024-12-30 16:41:56
필스너,26506,2024-12-29 17:24:56
흑맥주,7655,2024-12-30 06:55:56
필스너,17692,2024-12-30 01:43:56
필스너,13800,2024-12-29 20:38:56
흑맥주,1745,2024-12-30 06:34:56
필스너,24760,2024-12-30 03:55:56
필스너,17346,2024-12-30 00:56:56
필스너,15207,2024-12-30 07:12:56
